"a.i."	"length.patient."	"mean.d.JMJD1C."	"median.d.JMJD1C."	"sum.d.JMJD1C."	"mean.e.IFNG."	"median.e.IFNG."	"sum.e.IFNG."	"mean.f.STAT3_mean."	"median.f.STAT3_mean."	"sum.f.STAT3_mean."	"mean.f.STAT3_median."	"median.f.STAT3_median."	"sum.f.STAT3_median."	"mean.f.STAT3_sum."	"median.f.STAT3_sum."	"sum.f.STAT3_sum."	"mean.f.PI3K_mean."	"median.f.PI3K_mean."	"sum.f.PI3K_mean."	"mean.f.PI3K_median."	"median.f.PI3K_median."	"sum.f.PI3K_median."	"mean.f.PI3K_sum."	"median.f.PI3K_sum."	"sum.f.PI3K_sum."	"mean.o.GZMB."	"median.o.GZMB."	"sum.o.GZMB."	"mean.p.TNF."	"median.p.TNF."	"sum.p.TNF."	"mean.q.IFNG."	"median.q.IFNG."	"sum.q.IFNG."	"Treg_frequence"	"CD8_frequence"	"CD8_ratio"
"1"	"MELA.MosheSade-Feldman2018.sce.rds"	32	6.5925	8.4	52.74	0.3575	0	2.86	0.242784051724138	0.192465517241379	1.9422724137931	-0.0751	-0.07505	-0.6008	21.1222125	16.7445	168.9777	0.321071274038462	0.376459615384615	2.56857019230769	-0.4563375	-0.44415	-3.6507	33.3914125	39.1518	267.1313	1.94	0	85.36	1.1825	0	52.03	3.31204545454545	0	145.73	0.228571428571429	0.556962025316456	5.5
"2"	"MELA.MosheSade-Feldman2018.sce.rds"	32	4.15192307692308	4.37	215.9	1.44461538461538	0	75.12	0.100668015030946	0.0492798850574713	5.23473678160919	-0.0575384615384615	-0.06075	-2.992	8.75811730769231	4.28735	455.4221	0.307712592455621	0.311235096153846	16.0010548076923	-0.418369230769231	-0.39855	-21.7552	32.0021096153846	32.36845	1664.1097	4.49872180451128	0	1794.99	3.11293233082707	0	1242.06	4.25907268170426	0	1699.37	0.242990654205607	0.65089722675367	7.67307692307692
"3"	"MELA.MosheSade-Feldman2018.sce.rds"	32	2.6015	0	52.03	0	0	0	0.321467873563218	0.362159770114942	6.42935747126437	-0.040005	-0.0325	-0.8001	27.967705	31.5079	559.3541	0.441356778846154	0.42035	8.82713557692308	-0.3046475	-0.262675	-6.09295	45.901105	43.7164	918.0221	6.71394736842105	9.93	765.39	1.41701754385965	0	161.54	4.88447368421053	3.39	556.83	0.25	0.587628865979381	5.7
"4"	"MELA.MosheSade-Feldman2018.sce.rds"	32	3.08107142857143	0	86.27	0	0	0	0.038706157635468	-0.00748448275862073	1.0837724137931	-0.0822178571428571	-0.0737	-2.3021	3.36743571428571	-0.651150000000003	94.2882	0.314633379120879	0.309640384615385	8.80973461538461	-0.395294642857143	-0.4373	-11.06825	32.7218714285714	32.2026	916.2124	4.47662037037037	0	966.95	1.21009259259259	0	261.38	4.29092592592593	0	926.84	0.212121212121212	0.620689655172414	7.71428571428571
"5"	"MELA.MosheSade-Feldman2018.sce.rds"	32	2.24909090909091	0	49.48	0	0	0	-0.00024096133751306	-0.0517103448275862	-0.00530114942528732	-0.0869954545454545	-0.095	-1.9139	-0.0209636363636363	-4.4988	-0.461199999999999	0.161015690559441	0.148855288461538	3.54234519230769	-0.492302272727273	-0.509325	-10.83065	16.7456318181818	15.48095	368.4039	1.91568421052632	0	363.98	0.354789473684211	0	67.41	1.54552631578947	0	293.65	0.17741935483871	0.605095541401274	8.63636363636364
"6"	"MELA.MosheSade-Feldman2018.sce.rds"	32	1.32722222222222	0	23.89	0	0	0	-0.000176436781609197	0.000464942528735621	-0.00317586206896555	-0.0860666666666667	-0.0804	-1.5492	-0.0153500000000003	0.0404499999999994	-0.276300000000006	0.23859983974359	0.149961538461538	4.29479711538462	-0.469280555555556	-0.436925	-8.44705	24.8143833333333	15.596	446.6589	2.41921428571429	0	338.69	1.17278571428571	0	164.19	1.8185	0	254.59	0.290322580645161	0.693069306930693	7.77777777777778
"7"	"MELA.MosheSade-Feldman2018.sce.rds"	32	2.62648648648649	0	97.18	0.246756756756757	0	9.13	0.346622491456974	0.458803448275862	12.825032183908	-0.0412135135135135	-0.0274	-1.5249	30.1561567567568	39.9159	1115.7778	0.347320582120582	0.288047115384615	12.8508615384615	-0.380398648648649	-0.41805	-14.07475	36.1213405405405	29.9569	1336.4896	6.6663	9.57	2666.52	1.385	0	554	3.688075	0	1475.23	0.393617021276596	0.809716599190283	10.8108108108108
"8"	"MELA.MosheSade-Feldman2018.sce.rds"	32	4.56555555555556	3.49	41.09	2.21333333333333	0	19.92	-0.0083752234993614	-0.108749425287356	-0.0753770114942526	-0.0737666666666667	-0.0733	-0.6639	-0.728644444444441	-9.46119999999999	-6.55779999999997	0.357102243589744	0.343842307692308	3.21392019230769	-0.467844444444444	-0.4849	-4.2106	37.1386333333333	35.7596	334.2477	4.38125	0	420.6	2.0209375	0	194.01	4.29572916666667	0	412.39	0.0927835051546392	0.49740932642487	10.6666666666667
"9"	"MELA.MosheSade-Feldman2018.sce.rds"	32	2.0625	0	8.25	0	0	0	0.186869252873563	0.141612068965517	0.747477011494253	-0.076775	-0.05805	-0.3071	16.257625	12.32025	65.0305	0.158889903846154	0.202401442307692	0.635559615384615	-0.4116375	-0.423525	-1.64655	16.52455	21.04975	66.0982	3.32844444444444	0	149.78	1.22911111111111	0	55.31	1.19288888888889	0	53.68	0.08	0.473684210526316	11.25
"10"	"MELA.MosheSade-Feldman2018.sce.rds"	32	1.43	0	18.59	0	0	0	0.114298496905393	0.0721241379310346	1.48588045977012	-0.0576692307692308	-0.06	-0.7497	9.94396923076923	6.27480000000001	129.2716	0.398001479289941	0.420942307692308	5.17401923076923	-0.381730769230769	-0.4122	-4.9625	41.3921538461538	43.778	538.098	3.628125	0	290.25	2.283625	0	182.69	1.109625	0	88.77	0.149425287356322	0.479041916167665	6.15384615384615
