	i	j	d	f	o	n
1	0	0	0	0	0	0
2	1	2	3	6	0.382392234	0.129820684
3	1	2	3	7	NA	NA
4	1	2	3	8	0.188540615	0.468636254
5	1	2	3	9	0.143470291	0.582771555
6	1	2	3	10	0.110361762	0.673269147
7	1	2	3	11	0.023298594	0.929275176
8	1	2	3	12	-0.014714902	0.955300113
9	1	2	3	13	-0.038229227	0.884182487
10	1	2	3	14	-0.128755389	0.622370097
11	1	2	3	15	0.126302905	0.629070012
12	1	2	3	16	0.110361762	0.673269147
13	1	2	3	17	0.023298594	0.929275176
14	1	2	3	18	-0.305334208	0.233356236
15	1	2	3	19	-0.250153327	0.33286389
16	1	2	3	20	-0.355610122	0.161265659
17	1	2	3	21	-0.09564686	0.71499007
18	1	2	3	22	-0.080931959	0.757488449
19	1	2	3	23	-0.094420619	0.718503392
20	1	2	3	24	-0.305334208	0.233356236
21	1	2	3	25	-0.250153327	0.33286389
22	1	2	3	26	-0.355610122	0.161265659
23	1	2	3	27	0.063190184	0.809605841
24	1	2	3	28	0.034435731	0.895612855
25	1	2	3	29	0.059509202	0.820521965
26	1	2	3	30	0.245851678	0.341517425
27	1	2	3	31	NA	NA
28	1	2	3	32	0.142593973	0.585099987
29	1	2	3	33	0.263190184	0.307423002
30	1	2	3	34	0.25531167	0.322656018
31	1	2	3	35	0.112269939	0.667921377
32	1	2	3	36	0.189570552	0.466165559
33	1	2	3	37	0.009809934	0.970192309
34	1	2	3	38	-0.163090159	0.531689865
35	1	2	4	6	0.331532492	0.193614095
36	1	2	4	7	NA	NA
37	1	2	4	8	0.055255415	0.833175562
38	1	2	4	9	0.153093109	0.557462435
39	1	2	4	10	0.204124145	0.431957081
40	1	2	4	11	0.255155182	0.322962975
41	1	2	4	12	0.204124145	0.431957081
42	1	2	4	13	-0.104323932	0.690287216
43	1	2	4	14	-0.051031036	0.845780126
44	1	2	4	15	0.153093109	0.557462435
45	1	2	4	16	0.204124145	0.431957081
46	1	2	4	17	0.255155182	0.322962975
47	1	2	4	18	-0.204124145	0.431957081
48	1	2	4	19	-0.153093109	0.557462435
49	1	2	4	20	-0.255155182	0.322962975
50	1	2	4	21	-0.357217254	0.159245907
51	1	2	4	22	-0.306186218	0.231988124
52	1	2	4	23	-0.102062073	0.696699244
53	1	2	4	24	-0.204124145	0.431957081
54	1	2	4	25	-0.153093109	0.557462435
55	1	2	4	26	-0.255155182	0.322962975
56	1	2	4	27	0	1
57	1	2	4	28	-0.179133822	0.491498989
58	1	2	4	29	-0.051062334	0.845686606
59	1	2	4	30	0.358096019	0.158148804
60	1	2	4	31	NA	NA
61	1	2	4	32	0.255782871	0.321732779
62	1	2	4	33	0.153187002	0.557217869
63	1	2	4	34	-0.0625	0.811650149
64	1	2	4	35	0	1
65	1	2	4	36	0.25531167	0.322656018
66	1	2	4	37	-0.051031036	0.845780126
