"d"	"f"	"o"	"n"
"1"	0	0	0	0
"2"	3	6	NA	NA
"3"	3	7	NA	NA
"4"	3	8	-0.470588235294118	0.346224302869937
"5"	3	9	0.0289885517826224	0.95652935238984
"6"	3	10	-0.173931310695735	0.741733927731628
"7"	3	11	-0.579771035652448	0.227783956715016
"8"	3	12	-0.231908414260979	0.658373571260927
"9"	3	13	-0.0308020551816849	0.953811529208109
"10"	3	14	-0.579771035652448	0.227783956715016
"11"	3	15	0.0289885517826224	0.95652935238984
"12"	3	16	-0.173931310695735	0.741733927731628
"13"	3	17	-0.579771035652448	0.227783956715016
"14"	3	18	0.0579771035652448	0.913131785162327
"15"	3	19	0.376851173174092	0.461482840350805
"16"	3	20	0.11595420713049	0.826848213385815
"17"	3	21	0.231908414260979	0.658373571260927
"18"	3	22	0.231908414260979	0.658373571260927
"19"	3	23	-0.463816828521959	0.35416429843623
"20"	3	24	0.0579771035652448	0.913131785162327
"21"	3	25	0.376851173174092	0.461482840350805
"22"	3	26	0.11595420713049	0.826848213385815
"23"	3	27	-0.25	0.6328125
"24"	3	28	NA	NA
"25"	3	29	-0.0289885517826224	0.95652935238984
"26"	3	30	0.400426717361903	0.431462445415476
"27"	3	31	NA	NA
"28"	3	32	0.202919862478357	0.699797968157019
"29"	3	33	0.308823529411765	0.551491260431508
"30"	3	34	NA	NA
"31"	3	35	-0.318874069608847	0.537900560470205
"32"	3	36	0.318874069608847	0.537900560470205
"33"	3	37	-0.753702346348183	0.0835232813732597
"34"	3	38	-0.637748139217693	0.17307111024126
"35"	3	42	NA	NA
"36"	3	43	NA	NA
"37"	3	44	NA	NA
"38"	3	45	0.0289885517826224	0.95652935238984
"39"	3	46	-0.173931310695735	0.741733927731628
"40"	3	47	-0.579771035652448	0.227783956715016
"41"	3	48	-0.231908414260979	0.658373571260927
"42"	3	49	-0.0308020551816849	0.953811529208109
"43"	3	50	-0.579771035652448	0.227783956715016
"44"	3	51	0.0289885517826224	0.95652935238984
"45"	3	52	-0.173931310695735	0.741733927731628
"46"	3	53	-0.579771035652448	0.227783956715016
"47"	3	54	0.0579771035652448	0.913131785162327
"48"	3	55	0.376851173174092	0.461482840350805
"49"	3	56	0.11595420713049	0.826848213385815
"50"	3	57	0.231908414260979	0.658373571260927
"51"	3	58	0.231908414260979	0.658373571260927
"52"	3	59	-0.463816828521959	0.35416429843623
"53"	3	60	0.0579771035652448	0.913131785162327
"54"	3	61	0.376851173174092	0.461482840350805
"55"	3	62	0.11595420713049	0.826848213385815
"56"	3	63	-0.25	0.6328125
"57"	3	64	NA	NA
"58"	3	65	0.191176470588235	0.716728895277834
"59"	3	66	0.400426717361903	0.431462445415476
"60"	3	67	NA	NA
"61"	3	68	0.338822606998534	0.511214635729345
"62"	3	69	0.308823529411765	0.551491260431508
"63"	3	70	NA	NA
"64"	3	71	0.102941176470588	0.846133663240383
"65"	4	6	NA	NA
"66"	4	7	NA	NA
"67"	4	8	NA	NA
"68"	4	9	NA	NA
"69"	4	10	NA	NA
"70"	4	11	NA	NA
"71"	4	12	NA	NA
"72"	4	13	NA	NA
"73"	4	14	NA	NA
"74"	4	15	NA	NA
"75"	4	16	NA	NA
"76"	4	17	NA	NA
"77"	4	18	NA	NA
"78"	4	19	NA	NA
"79"	4	20	NA	NA
"80"	4	21	NA	NA
"81"	4	22	NA	NA
"82"	4	23	NA	NA
"83"	4	24	NA	NA
"84"	4	25	NA	NA
"85"	4	26	NA	NA
"86"	4	27	NA	NA
"87"	4	28	NA	NA
"88"	4	29	NA	NA
"89"	4	30	NA	NA
"90"	4	31	NA	NA
"91"	4	32	NA	NA
"92"	4	33	NA	NA
"93"	4	34	NA	NA
"94"	4	35	NA	NA
"95"	4	36	NA	NA
"96"	4	37	NA	NA
"97"	4	38	NA	NA
"98"	4	42	NA	NA
"99"	4	43	NA	NA
"100"	4	44	NA	NA
"101"	4	45	NA	NA
"102"	4	46	NA	NA
"103"	4	47	NA	NA
"104"	4	48	NA	NA
"105"	4	49	NA	NA
"106"	4	50	NA	NA
"107"	4	51	NA	NA
"108"	4	52	NA	NA
"109"	4	53	NA	NA
"110"	4	54	NA	NA
"111"	4	55	NA	NA
"112"	4	56	NA	NA
"113"	4	57	NA	NA
"114"	4	58	NA	NA
"115"	4	59	NA	NA
"116"	4	60	NA	NA
"117"	4	61	NA	NA
"118"	4	62	NA	NA
"119"	4	63	NA	NA
"120"	4	64	NA	NA
"121"	4	65	NA	NA
"122"	4	66	NA	NA
"123"	4	67	NA	NA
"124"	4	68	NA	NA
"125"	4	69	NA	NA
"126"	4	70	NA	NA
"127"	4	71	NA	NA
"128"	5	6	NA	NA
"129"	5	7	NA	NA
"130"	5	8	0.0588235294117647	0.911866476694484
"131"	5	9	-0.318874069608847	0.537900560470205
"132"	5	10	-0.463816828521959	0.35416429843623
"133"	5	11	-0.753702346348183	0.0835232813732597
"134"	5	12	-0.405839724956714	0.424662507561365
"135"	5	13	-0.277218496635164	0.594824388931243
"136"	5	14	-0.173931310695735	0.741733927731628
"137"	5	15	-0.318874069608847	0.537900560470205
"138"	5	16	-0.463816828521959	0.35416429843623
"139"	5	17	-0.753702346348183	0.0835232813732597
"140"	5	18	0	1
"141"	5	19	0.376851173174092	0.461482840350805
"142"	5	20	0.0579771035652448	0.913131785162327
"143"	5	21	0.405839724956714	0.424662507561365
"144"	5	22	0.405839724956714	0.424662507561365
"145"	5	23	0.0579771035652448	0.913131785162327
"146"	5	24	0	1
"147"	5	25	0.376851173174092	0.461482840350805
"148"	5	26	0.0579771035652448	0.913131785162327
"149"	5	27	-0.161764705882353	0.759469456035009
"150"	5	28	NA	NA
"151"	5	29	0.318874069608847	0.537900560470205
"152"	5	30	0.154010275908424	0.770811083716923
"153"	5	31	NA	NA
"154"	5	32	0.550782483869826	0.257369331622575
"155"	5	33	0.220588235294118	0.674484467229798
"156"	5	34	NA	NA
"157"	5	35	-0.550782483869826	0.257369331622575
"158"	5	36	-0.0289885517826224	0.95652935238984
"159"	5	37	-0.927633657043918	0.00766584418747313
"160"	5	38	-0.695725242782938	0.124789337440287
"161"	5	42	NA	NA
"162"	5	43	NA	NA
"163"	5	44	NA	NA
"164"	5	45	-0.318874069608847	0.537900560470205
